"Rank","Name","Genre"
1,"Wii Sports","Sports"
2,"Super Mario Bros.","Platform"
3,"Mario Kart Wii","Racing"
4,"Wii Sports Resort","Sports"
5,"Pokemon Red/Pokemon Blue","Role-Playing"
6,"Tetris","Puzzle"
7,"New Super Mario Bros.","Platform"
8,"Wii Play","Misc"
9,"New Super Mario Bros. Wii","Platform"
10,"Duck Hunt","Shooter"
11,"Nintendogs","Simulation"
12,"Mario Kart DS","Racing"
13,"Pokemon Gold/Pokemon Silver","Role-Playing"
14,"Wii Fit","Sports"
15,"Wii Fit Plus","Sports"
16,"Kinect Adventures!","Misc"
17,"Grand Theft Auto V","Action"
18,"Grand Theft Auto: San Andreas","Action"
19,"Super Mario World","Platform"
20,"Brain Age: Train Your Brain in Minutes a Day","Misc"
21,"Pokemon Diamond/Pokemon Pearl","Role-Playing"
22,"Super Mario Land","Platform"
23,"Super Mario Bros. 3","Platform"
24,"Grand Theft Auto V","Action"
25,"Grand Theft Auto: Vice City","Action"
26,"Pokemon Ruby/Pokemon Sapphire","Role-Playing"
27,"Pokemon Black/Pokemon White","Role-Playing"
28,"Brain Age 2: More Training in Minutes a Day","Puzzle"
29,"Gran Turismo 3: A-Spec","Racing"
30,"Call of Duty: Modern Warfare 3","Shooter"
31,"Pokémon Yellow: Special Pikachu Edition","Role-Playing"
32,"Call of Duty: Black Ops","Shooter"
33,"Pokemon X/Pokemon Y","Role-Playing"
34,"Call of Duty: Black Ops 3","Shooter"
35,"Call of Duty: Black Ops II","Shooter"
36,"Call of Duty: Black Ops II","Shooter"
37,"Call of Duty: Modern Warfare 2","Shooter"
38,"Call of Duty: Modern Warfare 3","Shooter"
39,"Grand Theft Auto III","Action"
40,"Super Smash Bros. Brawl","Fighting"
41,"Call of Duty: Black Ops","Shooter"
42,"Animal Crossing: Wild World","Simulation"
43,"Mario Kart 7","Racing"
44,"Halo 3","Shooter"
45,"Grand Theft Auto V","Action"
46,"Pokemon HeartGold/Pokemon SoulSilver","Action"
47,"Super Mario 64","Platform"
48,"Gran Turismo 4","Racing"
49,"Super Mario Galaxy","Platform"
50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","Role-Playing"
51,"Super Mario Land 2: 6 Golden Coins","Adventure"
52,"Grand Theft Auto IV","Action"
53,"Gran Turismo","Racing"
54,"Super Mario 3D Land","Platform"
55,"Gran Turismo 5","Racing"
56,"Call of Duty: Modern Warfare 2","Shooter"
57,"Grand Theft Auto IV","Action"
58,"Super Mario All-Stars","Platform"
59,"Pokemon FireRed/Pokemon LeafGreen","Role-Playing"
60,"Super Mario 64","Platform"
61,"Just Dance 3","Misc"
62,"Call of Duty: Ghosts","Shooter"
63,"Halo: Reach","Shooter"
64,"Mario Kart 64","Racing"
65,"New Super Mario Bros. 2","Platform"
66,"Halo 4","Shooter"
67,"Final Fantasy VII","Role-Playing"
68,"Call of Duty: Ghosts","Shooter"
69,"Just Dance 2","Misc"
70,"Gran Turismo 2","Racing"
71,"Call of Duty 4: Modern Warfare","Shooter"
72,"Donkey Kong Country","Platform"
73,"Minecraft","Misc"
74,"Animal Crossing: New Leaf","Simulation"
75,"Mario Party DS","Misc"
76,"The Elder Scrolls V: Skyrim","Role-Playing"
77,"Super Mario Kart","Racing"
78,"FIFA 16","Sports"
79,"Wii Party","Misc"
80,"Halo 2","Shooter"
81,"Mario Party 8","Misc"
82,"Pokemon Black 2/Pokemon White 2","Role-Playing"
83,"FIFA Soccer 13","Action"
84,"The Sims 3","Simulation"
85,"GoldenEye 007","Shooter"
86,"Mario & Sonic at the Olympic Games","Sports"
87,"Final Fantasy X","Role-Playing"
88,"Final Fantasy VIII","Role-Playing"
89,"Pokémon Platinum Version","Role-Playing"
90,"Pac-Man","Puzzle"
91,"Grand Theft Auto: Liberty City Stories","Action"
92,"Super Mario Galaxy 2","Platform"
93,"Star Wars Battlefront (2015)","Shooter"
94,"Call of Duty: Advanced Warfare","Shooter"
95,"The Legend of Zelda: Ocarina of Time","Action"
96,"Crash Bandicoot 2: Cortex Strikes Back","Platform"
97,"Super Mario Bros. 2","Platform"
98,"Super Smash Bros. for Wii U and 3DS","Fighting"
99,"Call of Duty: World at War","Shooter"
100,"Battlefield 3","Shooter"
